"","simulation.duration","mean.resistance.intensity.","mean.resistance.intensity..1","exceedance.generations","exceedance.generations.deployed","peak.resistance","strategy","insecticides.in.sim","dep.freq","Heritability","Male.Insecticide.Exposure","Female.Insecticide.Exposure","Fitness.Cost","Intervention.Coverage","Dispersal","deployment.interval"
"1",500,3.84966953396588,3.84966953396588,0,0,7.19920052963225,"mixture",2,5,0.15031141415952,0.567840764169255,0.433353901814972,0.0957518146226993,0.521592345910855,0.120674418219365,5
"2",500,1.73046250855126,1.73046250855126,0,0,1.76409910393542,"mixture",2,5,0.275061787466437,0.307078314969968,0.882286177726206,0.130435896240991,0.446651467491314,0.190743572478816,5
"3",500,15.2913651948234,15.2913651948234,0,0,30.5581556323003,"mixture",2,5,0.26259618789634,0.855467517736647,0.619526232179115,0.0859213062542984,0.54320349746719,0.173101298998408,5
"4",500,0.315285096467992,0.315285096467992,0,0,0.318554210950076,"mixture",2,5,0.107360142142908,0.475956079018628,0.723605087182904,0.103088954695141,0.112449118250087,0.219827147746459,5
"5",500,19.1071440191372,19.1071440191372,0,0,40.2291922914709,"mixture",2,5,0.289420387334155,0.975155701892916,0.854793937202776,0.190327675887978,0.697545188050978,0.87738254908029,5
"6",500,2.66164545372765,2.66164545372765,0,0,5.20445883958845,"mixture",2,5,0.104712214148103,0.454803910806775,0.645982594304765,0.171176101349153,0.645968854681514,0.433839855136983,5
"7",500,0.0874934435797934,0.0874934435797934,0,0,0.0878706818607599,"mixture",2,5,0.173796737777942,0.646637724729674,0.445807273163577,0.19883895042118,0.266631743860729,0.635435939802751,5
"8",500,1.4380549725494,1.4380549725494,0,0,2.39566249593825,"mixture",2,5,0.165739257410506,0.342038425454032,0.732444927946897,0.162241447493698,0.578214584466293,0.335284544850886,5
"9",500,0.0738475866295761,0.0738475866295761,0,0,0.0741027921310064,"mixture",2,5,0.222553032161435,0.0865523241414689,0.653883001091983,0.134177777538661,0.241003363278285,0.765330609490536,5
"10",500,0.469778160783536,0.469778160783536,0,0,0.475392806550862,"mixture",2,5,0.102867711563024,0.636653762489557,0.815386889150296,0.0583745339573631,0.16069866899766,0.202104148203246,5
"11",500,0.0332149969165583,0.0332149969165583,0,0,0.0333875069028823,"mixture",2,5,0.0542485452833236,0.46360129216793,0.440558787540928,0.196222461377523,0.544791392013356,0.850434420801438,5
"12",500,7.52454084158288,7.52454084158288,0,0,15.10249553632,"mixture",2,5,0.257850775784068,0.418734802217782,0.659642824778729,0.0923717798214122,0.503808259441406,0.439805853039511,5
"13",500,0.222728346039741,0.222728346039741,0,0,0.223932887527364,"mixture",2,5,0.175110847641702,0.837668718971917,0.63224430172327,0.130971313297082,0.444234685490653,0.669545669201128,5
"14",500,10.2517624306949,10.2517624306949,0,0,20.7437375426256,"mixture",2,5,0.0529931086450699,0.750629521831404,0.853299105816567,0.0138561633333671,0.71125924589809,0.715634977592155,5
"15",500,0.606128635784425,0.606128635784425,0,0,1.11183680821262,"mixture",2,5,0.0699450491385418,0.782628483866621,0.79170773439114,0.156623129530042,0.566977883850709,0.736675058439486,5
"16",500,17.366867599227,17.366867599227,0,0,36.0057595612219,"mixture",2,5,0.294923476894025,0.358435067358427,0.802704731447576,0.175661839932402,0.718230828292817,0.81479857759662,5
"17",500,16.3125660026519,16.3125660026519,0,0,33.2839650819878,"mixture",2,5,0.194574298546906,0.998954957551882,0.724133305149013,0.0148702529145405,0.363460697264448,0.770336798468679,5
"18",500,5.07678237404239,5.07678237404239,0,0,10.2344715358623,"mixture",2,5,0.242238461194979,0.0322575890569482,0.465464818453463,0.180866280137082,0.705613798446022,0.849789228690751,5
"19",500,1.4852236162891,1.4852236162891,0,0,2.8261010294631,"mixture",2,5,0.0604131181123084,0.333598461074894,0.488109308487666,0.0438948985030423,0.377980538541563,0.143532251927704,5
"20",500,0.104332943673284,0.104332943673284,0,0,0.104820419454213,"mixture",2,5,0.139880810752418,0.585334122033976,0.53578388773764,0.112175389367148,0.166535417567939,0.51617563322708,5
"21",500,0.20195239584413,0.20195239584413,0,0,0.202719496264486,"mixture",2,5,0.238869544723455,0.970774601298152,0.710441608086694,0.0932608108658404,0.247961516005546,0.703308802827448,5
"22",500,5.00501293266099,5.00501293266099,0,0,9.78932181118565,"mixture",2,5,0.0630053957063123,0.982528382029151,0.655370920935343,0.182559749322077,0.744556386116371,0.153336891841218,5
"23",500,18.4160292500516,18.4160292500516,0,0,37.7267445086107,"mixture",2,5,0.240723270099808,0.161950011404185,0.582736379254959,0.0942032694843011,0.782916966606714,0.766808295622803,5
"24",500,11.414865663571,11.414865663571,0,0,23.1103223972853,"mixture",2,5,0.110673101717082,0.499807175547024,0.862180061475025,0.0115483539734259,0.459460355172269,0.614451544740424,5
"25",500,1.03037764066889,1.03037764066889,0,0,1.05332120348892,"mixture",2,5,0.276947686506319,0.330674321615743,0.442038145081187,0.128051428039306,0.303816276057363,0.132381334799603,5
"26",500,0.944419537219217,0.944419537219217,0,0,1.87046037183149,"mixture",2,5,0.140694203323149,0.629880908789439,0.436762059320696,0.0297496801208775,0.211219748348594,0.836556307616681,5
"27",500,9.52107308301887,9.52107308301887,0,0,19.2532801402033,"mixture",2,5,0.112157474352489,0.866359227120457,0.884942291967594,0.17374993045408,0.711957976627797,0.450523735947311,5
"28",500,0.0724731584019415,0.0724731584019415,0,0,0.0726888306537829,"mixture",2,5,0.243049061042094,0.0565076700747944,0.88710027557069,0.119610115248898,0.150109872724786,0.793328101374581,5
"29",500,18.7088264044785,18.7088264044785,0,0,38.1995892109089,"mixture",2,5,0.102423939269036,0.489968502441747,0.855516995164612,0.0112403988100304,0.75954415743567,0.684760241487324,5
"30",500,14.2309785994295,14.2309785994295,0,0,29.0218646127116,"mixture",2,5,0.25476690186034,0.287165307946922,0.481230965600768,0.0929579767542928,0.706232439873032,0.582004518907443,5
"31",500,6.33105062115869,6.33105062115869,0,0,12.7509648724498,"mixture",2,5,0.1878269233061,0.322045395883685,0.408245074264146,0.0511388329858561,0.515442948788777,0.580913767344095,5
"32",500,11.857969333532,11.857969333532,0,0,23.6403540582964,"mixture",2,5,0.247394037792366,0.494073569038464,0.410959174919501,0.0490021764847995,0.556847935204692,0.127323448569849,5
