"","insecticide.resistance.hertiability","male.insecticide.exposure","female.insecticide.exposure","resistance.cost","intervention.coverage","dispersal"
"1",0.112465748713556,0.943154083048576,0.6147343475534,0.156399106854463,0.77826813838426,0.514805646892916
"2",0.228813082836743,0.523395594591973,0.821735147002328,0.0805330725945823,0.29550120669147,0.439628703391273
"3",0.164512615360174,0.0252624075775966,0.730887025163393,0.0385705049502023,0.243839717638306,0.715286994129978
"4",0.0765031697051891,0.966314398032264,0.798634285210515,0.117425673033681,0.311723159798794,0.659655492881872
"5",0.24939642833831,0.731221778403386,0.478123263943417,0.185385903477716,0.325461485225242,0.458787584776245
"6",0.153084291059873,0.340208374414709,0.739218678498233,0.124935139514456,0.780222530576494,0.819723020015098
"7",0.176900336390361,0.491476679154206,0.823352336882323,0.0871443179937149,0.843320108495187,0.33255470469743
"8",0.223642670674628,0.0896461803489365,0.83904122328083,0.104884602941906,0.124665004101396,0.589162795501389
"9",0.238962906679051,0.585074859390734,0.762574332699529,0.0722315703093295,0.183710037562531,0.618147864732612
"10",0.205046345709648,0.979394727118197,0.575800000297139,0.156838176857749,0.470673264814634,0.806835386384279
"11",0.224895205156034,0.654817613972933,0.523282481129805,0.105506656804567,0.846993792975321,0.140572440328449
"12",0.243937666919868,0.646005394876818,0.637805553126382,0.140528698245609,0.217979817293398,0.298544539655559
"13",0.298394972598035,0.289018724311958,0.466246824177099,0.0133474281864334,0.540643895058986,0.274481733778398
"14",0.114257891977875,0.770415947620058,0.446433854635689,0.159719547248738,0.138344406742975,0.652748801416997
"15",0.0770699866585783,0.656147789319861,0.438137096104096,0.0239288166661945,0.848633019949496,0.536074825743027
"16",0.125943980274344,0.0432468000564259,0.56939035694109,0.0824313659725897,0.79137673618244,0.682802386839408
"17",0.233688026482647,0.480645904000732,0.448401028887252,0.0631886219203612,0.766145804650988,0.202471330059972
"18",0.0508585063155042,0.682051762765972,0.481533572784509,0.194137237585756,0.46944860142488,0.180673859389126
"19",0.240613658601302,0.981667715947959,0.858334703513363,0.127757616946636,0.389782579977158,0.339624977605324
"20",0.279246951480454,0.170908130693482,0.826923845162324,0.160927460946734,0.478857344983332,0.261406511106901
