"","insecticide.resistance.hertiability","male.insecticide.exposure","female.insecticide.exposure","resistance.cost","intervention.coverage","dispersal"
"1",0.489316106157684,0.402900702941697,0.874898062212858,0.0642836803934644,0.522804827840961,0.58547174557697
"2",0.375815938234158,0.354491366326623,0.46664755706382,0.102098011279319,0.726276899527349,0.760744168973602
"3",0.0193090378597503,0.201622161017032,0.684903748167236,0.161193298141497,0.590224870006144,0.113636593111977
"4",0.621852857829023,0.981378995022271,0.845380025399011,0.159443483910723,0.341534410417117,0.491848567876406
"5",0.868329999054287,0.7182189629809,0.433868557428941,0.194732228074603,0.419696297599524,0.404796886673644
"6",0.608730878679028,0.456223576723039,0.429321032742853,0.143341093616223,0.454977721019126,0.64281119072102
"7",0.955023356212102,0.954281236412283,0.84088324823915,0.130317408511698,0.330183738087527,0.157392951391824
"8",0.556070077190691,0.868440960752219,0.579508754213736,0.0501547066151672,0.475844333403185,0.891731859858818
"9",0.458539748258086,0.868648470748495,0.525360004626541,0.119891553723316,0.223481792032719,0.247997077472731
"10",0.816164608200191,0.653521073630033,0.675133612155193,0.118441130218796,0.781722895205058,0.863605312106572
"11",0.887379668693951,0.176504412162025,0.872089944422897,0.0122552894400638,0.690984707149193,0.633294022473171
"12",0.195981379632921,0.885542001553904,0.696856720059458,0.185568201814996,0.572340348096602,0.765699804792367
"13",0.88638797705409,0.502117203371832,0.44050077735947,0.0464111466894415,0.106434368211031,0.291158752726801
"14",0.499384289227471,0.778875679825991,0.890665060768556,0.0818935587602933,0.656074400693104,0.136797074050568
"15",0.544313665912724,0.938728962946637,0.684791579843219,0.122138982232037,0.661135034031309,0.149643309757449
"16",0.374187776843618,0.957699261663621,0.822612466759351,0.139653850633907,0.851650481482744,0.733534105001092
"17",0.749233318567629,0.306800345700886,0.598895273608575,0.199118200371352,0.870705939347036,0.228368986266516
"18",0.879470296017991,0.813655906574428,0.401577093256707,0.118397021249617,0.73039988337826,0.812873808480054
"19",0.21240150730279,0.894335721257981,0.559134534868342,0.15026746304075,0.318783041506335,0.629781878940836
"20",0.00411296813564412,0.373515034420462,0.710283782861847,0.160296574971974,0.753562902360372,0.15181582585942
"21",0.0139679503141227,0.258785100815678,0.765991406679433,0.0401047826776155,0.417766422641948,0.523287704650983
"22",0.59758558690318,0.906684339705994,0.536442701517581,0.0109282990108682,0.553888651653379,0.788130747726485
"23",0.451253398225676,0.960939080766821,0.406338263960299,0.138641575623068,0.524500149933062,0.362337985231653
"24",0.760070308664316,0.808690532231005,0.647027447794401,0.146026421570762,0.422798051091395,0.358264982412495
"25",0.785839190804689,0.404703129836032,0.502861098943325,0.188932347892911,0.717329844104312,0.431459812873416
"26",0.0355737878288399,0.265316527652508,0.680449204743933,0.136252761253316,0.243437110789642,0.522428048153967
"27",0.810295021844945,0.751286706843786,0.802025356266438,0.112639963607001,0.722533562564366,0.764958172591999
"28",0.287705610782689,0.904270370017877,0.535741064991197,0.037458888042374,0.642640056747161,0.508061108957529
"29",0.764270204388689,0.906982174988277,0.623840968284081,0.159499748317534,0.650036447062567,0.70618631484922
"30",0.878677822377774,0.478765138060553,0.855130382379657,0.0595512439071368,0.756571353391819,0.460592676554769
"31",0.755452393824991,0.821420957509847,0.760667088440456,0.0971017172356094,0.100940929951184,0.819653611839414
"32",0.182997235562818,0.893425696457597,0.840245624310128,0.196373883044271,0.826495607188717,0.46818002794493
"33",0.717529083431221,0.281387203605194,0.494251291529927,0.0272431115754801,0.270139359489754,0.580869004169554
"34",0.12942509181005,0.636437010224303,0.633760083769076,0.0711696755072442,0.700728306208588,0.727000079005212
"35",0.0898793982257468,0.768282605172042,0.83391625988048,0.0361640834375569,0.854913415639214,0.588490911431015
"36",0.329401566476698,0.315358197929896,0.550887611295166,0.0854787198888455,0.455629899922125,0.227168823852465
"37",0.741426310813169,0.63181968827853,0.632328524587955,0.110364528439155,0.340930459657349,0.101170959384404
"38",0.0186175870079851,0.854458450837247,0.642077519536298,0.0967327193552582,0.732017909554839,0.73098389563188
"39",0.679284553463693,0.580507043450186,0.753914310548524,0.18933079687801,0.5146877864483,0.85253077586174
"40",0.604885723007191,0.573978296704637,0.769207086109347,0.0362928686983343,0.15591369772967,0.71059481452968
